weapon,duel_count,mean_distance_3d,median_distance_3d,headshot_rate,mean_attacker_view_error_deg,smoke_between_rate
ak47,50,664.7862963923167,586.9978374991272,0.46,4.908771914423756,0.08
m4a1_silencer,22,641.6552157234554,636.9372666004026,0.2727272727272727,2.924448425755436,0.045454545454545456
awp,13,911.6813553860864,841.339876023171,0.0,1.4453759359283789,0.07692307692307693
mp9,13,478.9979202656025,396.28439467884544,0.5384615384615384,4.911646529470698,0.0
glock,8,403.6724251040619,358.0906103015485,0.75,2.6917870827590558,0.0
usp_silencer,7,653.7888552888277,613.5679304381882,0.8571428571428571,3.0971958084146567,0.0
m4a1,6,504.10833745095186,462.1565352501101,0.8333333333333334,1.5810465247910432,0.0
elite,3,330.8797198972303,318.7227207494541,1.0,5.437801225116092,0.0
tec9,3,535.521348007526,561.2617896740483,0.0,1.0224986528347915,0.0
galilar,2,805.436854802706,805.436854802706,0.5,2.1189646246378886,0.5
p250,2,567.3740284983706,567.3740284983706,0.5,3.6504250514049703,0.0
deagle,1,486.6840926823808,486.6840926823808,0.0,6.22664416828871,0.0
mac10,1,601.1531172095978,601.1531172095978,1.0,0.5899872310771863,0.0
